2024-12-03 15:13:53.378 [Information] AguilaContentManagement was signaled to launch in "create-content" mode.
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Fireworx-Y-1C100128' contains invalid characters and has been automatically converted to 'DH28_Fireworx_Y_1C100128'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Flipper-1C100138' contains invalid characters and has been automatically converted to 'DH28_Flipper_1C100138'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Frenzy-Y-1C100150' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C100150'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Frenzy-Y-1C10014D' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C10014D'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Frenzy-Y-1C10014E' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C10014E'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Frenzy-X-1C10014F' contains invalid characters and has been automatically converted to 'DH28_Frenzy_X_1C10014F'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-FRM-CMultSY-1C10018C' contains invalid characters and has been automatically converted to 'DH28_FRM_CMultSY_1C10018C'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-FRM-SqrtSY-1C10018D' contains invalid characters and has been automatically converted to 'DH28_FRM_SqrtSY_1C10018D'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-FRM-MMulSSY-1C10018E' contains invalid characters and has been automatically converted to 'DH28_FRM_MMulSSY_1C10018E'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-FRM-Tran8SY-1C10018B' contains invalid characters and has been automatically converted to 'DH28_FRM_Tran8SY_1C10018B'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Fuso-1C1001C2' contains invalid characters and has been automatically converted to 'DH28_Fuso_1C1001C2'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Kawachi-1C1001D2' contains invalid characters and has been automatically converted to 'DH28_Kawachi_1C1001D2'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-LeekSpin-Y-1C1001E6' contains invalid characters and has been automatically converted to 'DH28_LeekSpin_Y_1C1001E6'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-LeekSpin-X-1C1001E5' contains invalid characters and has been automatically converted to 'DH28_LeekSpin_X_1C1001E5'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Millet-RG-1C100201' contains invalid characters and has been automatically converted to 'DH28_Millet_RG_1C100201'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Oakley-LegX-1C100210' contains invalid characters and has been automatically converted to 'DH28_Oakley_LegX_1C100210'
